,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2000-02-29,368961600.0,8593500.0,8560951.0,3513100.0,4805800.0,,41688600.0,4296600.0,5506437.0,,1381200.0,7119900.0,2803215.0,10484900.0,44414200.0,10183200.0,6166950.0,10346200.0,4883900.0,2765400.0,7866200.0,58437400.0,12575200.0,6661800.0,1211500.0,7711200.0,,5199468.0,2776400.0,17197200.0
2000-03-01,1077003200.0,10212300.0,7788758.0,2838000.0,4841600.0,,39469400.0,4633400.0,7250380.0,,1488900.0,6504000.0,2390049.0,10807800.0,40813000.0,9397200.0,4866300.0,15612200.0,4969800.0,2891600.0,6955700.0,106889800.0,9884800.0,4153600.0,1397000.0,12564800.0,,7936750.0,2720100.0,10165800.0
2000-03-02,311259200.0,12075000.0,8707643.0,4058200.0,3956000.0,,31939200.0,4050400.0,6588241.0,,1819200.0,5352000.0,2390888.0,11192900.0,36469800.0,6793000.0,3583800.0,11358600.0,4884600.0,2186000.0,5884600.0,106932600.0,11260800.0,3565800.0,1166300.0,7538400.0,,4752243.0,3261000.0,15542700.0
2000-03-03,323366400.0,10481000.0,8775163.0,3884100.0,4805800.0,,38053800.0,4637600.0,14559757.0,,2295900.0,5832800.0,3312147.0,10162800.0,34285000.0,5794600.0,5981400.0,9010600.0,5193900.0,4581000.0,10216500.0,101435200.0,6912800.0,4902200.0,668600.0,3794400.0,,4411542.0,3165100.0,10790800.0
2000-03-06,210560000.0,12645900.0,7299669.0,2882000.0,5260400.0,,33787600.0,2814400.0,7341004.0,,1421000.0,4821800.0,2419209.0,10747400.0,28032000.0,7631400.0,5691450.0,7866000.0,4175100.0,2052600.0,8686200.0,93609400.0,7684800.0,3668600.0,793900.0,4090400.0,,4410430.0,2400600.0,10493600.0
2000-03-07,273011200.0,12739800.0,11151034.0,3565000.0,8780800.0,,42309600.0,5600000.0,7588140.0,,1041300.0,8491900.0,3324419.0,10035100.0,39924200.0,16526400.0,4566900.0,23440200.0,6183300.0,5195600.0,12923800.0,135061000.0,9532000.0,137287200.0,885100.0,8610400.0,,3890594.0,3522300.0,9724700.0
2000-03-08,271230400.0,15595000.0,11361133.0,4134600.0,5772000.0,,48042400.0,7262800.0,6294577.0,,1041100.0,6631400.0,4569477.0,8376400.0,46391200.0,12836800.0,5247750.0,14441600.0,4015900.0,4693200.0,11994000.0,94290000.0,10000000.0,74584200.0,661200.0,10363200.0,,3478062.0,2763600.0,10018700.0
2000-03-09,276718400.0,10935000.0,12839027.0,3236800.0,4904400.0,,67248600.0,4307200.0,5623011.0,,535500.0,5736400.0,4908065.0,6334100.0,38375800.0,9665400.0,3979500.0,12389400.0,4779200.0,3258200.0,12280200.0,88198800.0,14059200.0,34217200.0,1607800.0,6700000.0,,4054384.0,2244200.0,7944900.0
2000-03-10,248606400.0,16043800.0,12432880.0,5114300.0,5335400.0,,48013600.0,5384600.0,7061936.0,,2034400.0,4456000.0,3397004.0,7093200.0,43497600.0,8722200.0,5311350.0,14059200.0,4819200.0,5751600.0,8313900.0,85589000.0,12566400.0,48561600.0,634300.0,6710400.0,,3984109.0,1667100.0,7005500.0
2000-03-13,303956800.0,10081100.0,10198218.0,3422700.0,3304800.0,,47557200.0,4170800.0,5247440.0,,1454200.0,4412500.0,2238691.0,7871000.0,67439200.0,5762600.0,4723350.0,15646400.0,5659700.0,3787800.0,8876900.0,61831800.0,20965600.0,35996800.0,1183300.0,6282400.0,,3737813.0,2111800.0,7727900.0
2000-03-14,428579200.0,27589100.0,9381812.0,3727900.0,6545400.0,,58617400.0,4209400.0,5589559.0,,653100.0,5094600.0,2446690.0,7973700.0,56785000.0,10342200.0,4129650.0,11162000.0,5235700.0,3156600.0,7141300.0,73489200.0,18244000.0,20742000.0,1030100.0,3949600.0,,3694336.0,2657900.0,9985000.0
2000-03-15,443609600.0,33529500.0,11197304.0,4859300.0,6827400.0,,62863600.0,3756200.0,6642980.0,,700300.0,8097100.0,4192079.0,5665900.0,48895600.0,12020200.0,8861700.0,22138200.0,7044600.0,4240000.0,9185600.0,53208000.0,25912800.0,24737400.0,853100.0,12876000.0,,4239746.0,2433100.0,14670000.0
2000-03-16,378100800.0,18216200.0,17287102.0,4725200.0,7723400.0,,75486200.0,5194400.0,8335124.0,,2024800.0,12165000.0,4170576.0,6622500.0,54972800.0,15359000.0,15634950.0,17610200.0,8241900.0,4804800.0,15120800.0,77300800.0,17427200.0,27405200.0,1798200.0,11164000.0,,5223264.0,3862900.0,19716000.0
2000-03-17,305043200.0,12260600.0,11811150.0,15304900.0,4798800.0,,53047600.0,4251000.0,8753675.0,,2099400.0,13587500.0,4578288.0,8857300.0,60851000.0,11004200.0,11889150.0,14530800.0,5463000.0,4068200.0,8515400.0,81161600.0,30021600.0,22202400.0,1410200.0,9671200.0,,5038680.0,3082500.0,12637300.0
2000-03-20,204489600.0,20278200.0,8829658.0,5786400.0,4407600.0,,39242200.0,2280400.0,16985606.0,,2254000.0,5350300.0,3576787.0,6563500.0,65163600.0,6755200.0,8076150.0,6755200.0,2736000.0,2727600.0,6118700.0,47773000.0,14386400.0,11856000.0,720700.0,5468800.0,,3379877.0,1508700.0,6769100.0
